City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
462,kaa-khem,51.6833,94.7333,42.6,35,34,3.85,RU,1745381218
463,castanos,26.7833,-101.4167,71.35,79,43,5.39,MX,1745381219
464,zouerate,22.7187,-12.4521,68.45,30,0,7.05,MR,1745381220
465,yumbe,3.4651,31.2469,65.17,96,97,4.45,UG,1745381221
466,al bawiti,28.3492,28.8659,76.55,28,17,9.8,EG,1745381222
467,taoudenni,22.6783,-3.9836,82.8,11,99,12.88,ML,1745381223
468,ribeira brava,32.65,-17.0667,64.0,80,9,3.15,PT,1745381224
469,lagunillas,10.1301,-71.2595,77.65,85,91,8.95,VE,1745381227
470,oakdale,44.963,-92.9649,56.32,51,40,1.01,US,1745380866
471,shimoda,34.6667,138.95,66.02,98,100,12.66,JP,1745381230
472,leh,34.1667,77.5833,26.08,79,100,5.44,IN,1745381231
473,kongwa,-6.2,36.4167,65.32,90,91,3.31,TZ,1745381232
474,bodo,67.28,14.405,33.84,74,40,9.22,NO,1745381233
475,zhaobaoshan,29.9695,121.6875,68.02,50,100,6.78,CN,1745381234
476,iguatemi,-23.6803,-54.5611,68.88,86,100,2.8,BR,1745381235
477,debre werk',10.6667,38.1667,57.38,56,17,1.21,ET,1745381236
478,asosa,10.0667,34.5333,70.72,52,28,3.36,ET,1745381237
479,tabou,4.423,-7.3528,79.02,88,13,4.12,CI,1745381239
480,likiep,9.8251,169.3107,81.48,76,28,15.19,MH,1745381240
481,auxerre,47.8,3.5667,46.74,94,32,8.05,FR,1745381241
482,alcantara,-2.4089,-44.4147,79.0,92,100,5.19,BR,1745381242
483,mhangura,-16.8939,30.1683,60.15,82,100,2.95,ZW,1745381243
484,salinopolis,-0.6136,-47.3561,77.94,87,69,6.42,BR,1745381186
485,yeniseysk,58.4497,92.1703,35.1,92,100,12.75,RU,1745381245
486,beitbridge,-22.2167,30.0,69.28,60,99,5.41,ZW,1745381246
487,mogok,22.9167,96.5,78.31,54,2,4.99,MM,1745381248
488,djenne,13.9061,-4.5533,88.34,48,100,10.94,ML,1745381249
489,khandud,36.9513,72.318,30.16,78,61,1.45,AF,1745381250
490,priob'ye,62.5206,65.5964,25.11,77,31,17.76,RU,1745381251
491,rio grande,-32.035,-52.0986,62.98,82,69,8.16,BR,1745381252
492,darzab,35.9774,65.3783,61.66,27,0,1.39,AF,1745381253
493,ramhormoz,31.28,49.6035,82.9,33,1,2.06,IR,1745381254
494,macapa,0.0389,-51.0664,76.98,100,0,1.14,BR,1745381255
495,uturoa,-16.7333,-151.4333,82.02,78,52,16.2,PF,1745381256
496,lae,-6.7221,146.9847,79.47,78,79,9.01,PG,1745381258
497,winneba,5.3511,-0.6231,79.54,87,92,6.15,GH,1745381259
498,ormara,25.2088,64.6357,82.62,53,0,9.53,PK,1745381260
499,quelimane,-17.8786,36.8883,69.51,91,18,1.16,MZ,1745381261
500,shingu,33.7333,135.9833,69.49,94,100,3.09,JP,1745381262
501,trujillo,-8.116,-79.03,60.76,88,16,8.05,PE,1745381018
502,ballina,-28.8667,153.5667,73.62,66,48,11.86,AU,1745381264
503,sunne,59.8376,13.143,42.21,96,100,2.86,SE,1745381265
504,saldanha,-33.0117,17.9442,59.38,77,0,6.35,ZA,1745381266
505,les avirons,-21.2418,55.3394,75.29,53,0,5.75,RE,1745381267
506,nisa,43.7031,7.2661,57.0,83,75,4.61,FR,1745380980
507,ngereklmadel,7.4883,134.4856,89.69,66,75,9.22,PW,1745381269
508,saint-pierre,-21.3393,55.4781,78.48,53,0,5.75,RE,1745381271
509,suntar,62.1444,117.6319,29.75,91,100,7.76,RU,1745381272
510,araguaina,-7.1911,-48.2072,73.98,93,87,2.48,BR,1745381273
511,sonoita,31.85,-112.8333,72.37,20,0,6.4,MX,1745381274
512,ca mau,9.1769,105.15,92.52,45,62,2.08,VN,1745381275
513,axim,4.8699,-2.2405,79.81,87,98,3.4,GH,1745381276
514,jeremie,18.65,-74.1167,76.8,77,52,10.45,HT,1745381277
515,katsuura,35.1333,140.3,64.51,96,100,28.5,JP,1745381278
516,mossendjo,-2.9506,12.7261,70.27,99,100,1.01,CG,1745381280
517,saipan,15.1355,145.701,88.5,66,75,10.36,MP,1745381281
518,puerto yuca,2.9383,-73.2083,72.99,87,93,1.63,CO,1745381282
519,aswan,24.0934,32.907,84.02,12,76,5.95,EG,1745381283
520,douz,33.4663,9.0203,64.54,38,95,4.63,TN,1745381284
521,aykhal,66.0,111.5,20.12,77,66,15.48,RU,1745381285
522,conde,-7.2597,-34.9075,74.66,94,0,6.91,BR,1745381286
523,amble,55.3333,-1.5833,42.94,100,20,5.75,GB,1745381287
524,voinjama,8.4219,-9.7478,69.24,98,73,1.12,LR,1745381288
525,al faw,29.9776,48.4741,78.39,50,53,1.43,IQ,1745381290
526,novodvinsk,64.4165,40.8122,33.55,59,100,9.57,RU,1745381291
527,bemidji,47.4736,-94.8803,46.49,71,0,5.75,US,1745381100
528,dubrovnik,42.6481,18.0922,65.84,52,0,5.75,HR,1745381293
529,zemetchino,53.4973,42.6163,60.55,55,38,3.76,RU,1745381294
530,enriquillo,17.9,-71.2333,73.33,78,1,6.71,DO,1745381295
531,tot'ma,59.9747,42.7642,34.47,80,100,8.05,RU,1745381296
532,burang,30.25,81.1667,36.19,25,0,5.59,CN,1745381297
533,ekibastuz,51.6667,75.3667,68.47,41,31,14.25,KZ,1745381298
534,luderitz,-26.6481,15.1594,57.4,84,0,7.85,NA,1745381299
535,ar rass,25.8694,43.4973,74.79,20,56,6.73,SA,1745381300
536,manismata,-2.4667,111.0333,90.81,54,54,3.76,ID,1745381303
537,kargasok,59.0556,80.8572,31.78,96,100,18.95,RU,1745381304
538,bergen,60.392,5.328,44.87,93,75,2.3,NO,1745381306
539,kavaratti,10.5669,72.642,84.87,74,100,8.37,IN,1745381307
540,miles city,46.4083,-105.8406,38.37,75,0,5.75,US,1745381308
541,nuuk,64.1835,-51.7216,27.21,100,100,15.01,GL,1745381309
542,bayanhongor,46.7167,100.1167,36.88,21,4,10.98,MN,1745381310
543,marsh harbour,26.5412,-77.0636,73.96,67,100,13.2,BS,1745381311
544,devils lake,48.1128,-98.8651,39.18,85,100,10.36,US,1745381313
545,debila,33.5167,6.95,67.91,27,63,5.28,DZ,1745381315
546,port saint john's,-31.6229,29.5448,64.67,93,100,5.21,ZA,1745381316
547,aksu,41.1231,80.2644,64.08,26,20,1.16,CN,1745381317
548,launceston,-41.45,147.1667,64.04,55,40,4.61,AU,1745381318
549,lichinga,-13.3128,35.2406,59.16,98,8,5.68,MZ,1745381319
550,graaff-reinet,-32.2522,24.5308,50.92,95,100,3.29,ZA,1745381320
551,capo d'orlando,38.1435,14.7305,58.24,80,99,7.14,IT,1745381321
552,madison,34.7334,-86.5667,62.22,98,100,0.0,US,1745380979
553,arteche,12.2645,125.4048,86.68,62,77,7.36,PH,1745381324
554,nyagan,62.1406,65.3936,25.48,83,17,11.88,RU,1745381325
555,pekanbaru,0.5333,101.45,80.92,83,20,0.0,ID,1745381326
556,pariaman,-0.619,100.12,80.65,76,100,7.16,ID,1745381327
557,whitby,54.4877,-0.615,41.38,88,22,5.26,GB,1745381070
558,lensk,60.7253,114.9278,32.61,69,100,10.96,RU,1745381329
559,selebi-phikwe,-21.979,27.8498,67.6,66,100,4.72,BW,1745381330
560,yanchep,-31.55,115.6833,79.79,65,37,13.09,AU,1745381331
561,iskushuban,10.2837,50.23,77.14,62,34,5.82,SO,1745381332
562,bargi,22.9833,79.8667,96.73,9,0,7.11,IN,1745381333
563,namibe,-15.1961,12.1522,71.24,69,3,7.49,AO,1745381334
564,kapa'a,22.0752,-159.319,77.32,89,75,9.22,US,1745381336
565,dunedin,-45.8742,170.5036,49.57,65,100,7.36,NZ,1745381337
566,leava,-14.3,-178.1667,83.59,74,56,9.42,WF,1745381338
567,phan rang-thap cham,11.5667,108.9833,91.45,56,100,12.1,VN,1745381339
568,mamuju,-2.6748,118.8885,83.3,74,92,2.26,ID,1745381223
569,mirny,62.5353,113.9611,28.18,73,99,10.96,RU,1745381341
570,uyar,55.81,94.3153,44.49,33,98,10.56,RU,1745381342
571,khenifra,32.9333,-5.6667,54.59,53,0,6.82,MA,1745381171
572,portstewart,55.1813,-6.714,46.15,86,74,6.85,GB,1745381344
573,forbes,-33.3833,148.0167,80.19,31,29,12.97,AU,1745381345
574,roseburg north,43.2645,-123.3033,56.48,38,0,10.36,US,1745381346
575,n'dalatando,-9.2978,14.9116,65.55,94,91,3.98,AO,1745381347
576,cannonvale,-20.2833,148.7,76.39,54,1,10.85,AU,1745381349
577,tommot,58.9564,126.2925,37.96,61,100,7.81,RU,1745381350
578,kirakira,-10.4544,161.9205,83.14,79,86,6.2,SB,1745381351
579,kachkanar,58.7,59.4948,34.57,56,56,0.04,RU,1745381352
580,gejiu,23.306,103.1635,76.71,42,23,7.85,CN,1745381353
581,umba,66.6871,34.3429,33.37,77,99,12.64,RU,1745381354
582,ixtapa,20.7,-105.2,72.63,78,20,4.61,MX,1745381286
